PartitionKey,RowKey,Longitude,Latitude
"100 Feet Rd, HITEC City, Hyderabad, Telangana, India","c-tel infosystems, plot no. 63, 1st and 2nd floors,, 100 feet road, హైటెక్ సిటీ, ward 107 madhapur, greater hyderabad municipal corporation west zone, hyderabad, serilingampalle mandal, రంగారెడ్డి, telangana, 500033, india",78.384,17.453
"100 Tórshavnar, Faroe Islands","100, tórshavn, streymoy region, faroe islands",-6.805,62.015
"100000 Karaganda, Kazakhstan","қарағанды қ.ә., қарағанды облысы, қазақстан",73.109,49.805
"100000 Karaganda, Kazakhstan","қарағанды, қарағанды облысы, қазақстан",73.109,49.805
"100000, Tashkent, Uzbekistan","ташкент, 100000, узбекистан",69.29,41.31
"10098 Rivoli, Italia","10098 rivoli to, italia",7.52,45.07
"102, Višegradska 26, Beograd 11000, Serbia","11129 београд 102, 26, visegradska, мз западни врачар, београд (савски венац), savski venac urban municipality, belgrade, city of belgrade, central serbia, 11000, serbia",20.455,44.799
"10300 Navalmoral de la Mata, España","navalmoral, navalmoral de la mata, cáceres, extremadura, 10300, spain",-5.561,39.888
"104, Gachibowli - Kondapur Rd, Sri Maruthi Nagar Colony, Hyderabad, Serilingampalle (M), Telangana 500084, India","hegde hospital, vitta rao nagar, mindspace technology park, ward 104 kondapur, greater hyderabad municipal corporation west zone, hyderabad, serilingampalle mandal, ranga reddy district, telangana, 500081, india",78.336,17.467
"1049 Nicosia, Cyprus",aglandjia nicosia 2103,33.402,35.168
"106100 Sinaia, Romania","sinaia, prahova, 106100, ルーマニア",25.545,45.347
"107, zone, Block H, 8A, Thirumoolar Colony, Anna Nagar, Chennai, Tamil Nadu 600040, India","josephs nursing home, dr. gurusamy road, ward 107, zone 8 anna nagar, chennai, chennai district, tamil nadu, 600031, india",80.202,13.091
"1078 Tonoshiro, Ishigaki, Okinawa 907-0004, Japan","石垣市立 石垣第二中学校, 県道87号富野大川線, 大川, 石垣市, 沖縄県, 907-8501, 日本",124.168,24.345
