PartitionKey,RowKey,Vectors
marriagePredictMK1,0,"[1.5459610027855153,1.9721448467966574,5.504178272980502,3.8217270194986073,1.8105849582172702,0.3955431754874652,0.5821727019498607,0.713091922005571]"
marriagePredictMK1,1,"[1.3636363636363635,1.3636363636363635,4.0,2.227272727272727,2.0454545454545454,0.18181818181818182,0.7272727272727273,0.5454545454545454]"
marriagePredictMK1,2,"[1.4247491638795986,2.0668896321070234,5.591973244147157,3.8160535117056855,2.190635451505017,0.4682274247491639,0.6688963210702341,0.5484949832775919]"
marriagePredictMK1,3,"[2.0,2.6666666666666665,5.333333333333333,1.5555555555555556,2.7777777777777777,0.4444444444444444,0.4444444444444444,0.0]"
